production_tag,canonical_volume_for_reporting_only,ZA,nuclide,exc_keV_decimal,raw_volume_count,raw_volumes,dat_production_count_raw,activity_day15_direct_Bq,canonicalization_would_merge_raw_volumes
alpha,CsI_Side_Segment_06,50111,Sn-111,0,1,CsI_Side_Segment_06,1,0.0006787041637143035545094462046,False
alpha,CsI_TopAnnulus_Segment_00,56131,Ba-131,0,1,CsI_TopAnnulus_Segment_00,1,0.000403462373866759445525846412,False
alpha,CsI_TopAnnulus_Segment_02,54125,Xe-125,0,1,CsI_TopAnnulus_Segment_02,1,0.0006787039079712173102139547006,False
alpha,CsI_TopAnnulus_Segment_04,48109,Cd-109,0,1,CsI_TopAnnulus_Segment_04,1,0.00001512616054103533876839627636,False
alpha,CsI_TopAnnulus_Segment_04,53124,I-124,0,1,CsI_TopAnnulus_Segment_04,1,0.0006224189124019870421801063666,False
alpha,CsI_TopAnnulus_Segment_05,53125,I-125,0,1,CsI_TopAnnulus_Segment_05,1,0.0001089957958824253357549497895,False
alpha,CsI_TopAnnulus_Segment_07,55131,Cs-131,0,1,CsI_TopAnnulus_Segment_07,1,0.0004466220274868972767674135128,False
alpha,Cu_50mK_StillLike_Can_side_wall_below_side_port,28063,Ni-63,0,1,Cu_50mK_StillLike_Can_side_wall_below_side_port,1,0.0000001908821938318160019438087249,False
alpha,G10_Support_Ring_60K_Top,6011,C-11,0,1,G10_Support_Ring_60K_Top,1,0.0006787041637143035545094462046,False
alpha,NbTi_Bundle_4K_60K,23048,V-48,0,1,NbTi_Bundle_4K_60K,1,0.000324709514514696320608987672,False
alpha,NbTi_Bundle_4K_60K,41092,Nb-92,0,1,NbTi_Bundle_4K_60K,1,0.0000000000005567721795900592915957420816,False
alpha,Nb_MagShield_Inner_Cylinder_2mm,31068,Ga-68,0,1,Nb_MagShield_Inner_Cylinder_2mm,1,0.0006787041637143035545094462046,False
alpha,Outer_Al_Mechanical_Shell_detector_bay_bottom_cap,13026,Al-26,0,1,Outer_Al_Mechanical_Shell_detector_bay_bottom_cap,1,0.00000000002694559910986569123304257647,False
alpha,Outer_Al_Mechanical_Shell_detector_bay_bottom_cap,14025,Si-25,0,1,Outer_Al_Mechanical_Shell_detector_bay_bottom_cap,1,0.0006787041637143035545094462046,False
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,9022,F-22,0,1,Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,1,0.0006787041637143035545094462046,False
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,11022,Na-22,0,1,Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,2,0.00001476974091239649761503356871,False
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,13026,Al-26,0,1,Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,1,0.00000000002694559910986569123304257647,False
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,13028,Al-28,0,1,Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,2,0.001357408327428607109018892409,False
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,15030,P-30,0,1,Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,2,0.001357408327428607109018892409,False
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,11022,Na-22,0,1,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,3,0.00002215461136859474642255035307,False
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,11024,Na-24,0,1,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,2,0.00135740825038515144604709121,False
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,12027,Mg-27,0,1,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,1,0.0006787041637143035545094462046,False
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,13026,Al-26,0,1,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,4,0.0000000001077823964394627649321703059,False
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,13028,Al-28,0,1,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,1,0.0006787041637143035545094462046,False
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,13029,Al-29,0,1,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,1,0.0006787041637143035545094462046,False
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,14027,Si-27,0,1,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,1,0.0006787041637143035545094462046,False
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,15030,P-30,0,1,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,3,0.002036112491142910663528338614,False
alpha,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,11022,Na-22,0,1,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,1,0.000007384870456198248807516784355,False
alpha,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,12023,Mg-23,0,1,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,1,0.0006787041637143035545094462046,False
alpha,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,12027,Mg-27,0,1,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,1,0.0006787041637143035545094462046,False
alpha,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,13026,Al-26,0,1,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,3,0.00000000008083679732959707369912772942,False
alpha,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,13028,Al-28,0,1,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,1,0.0006787041637143035545094462046,False
alpha,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,15030,P-30,0,1,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,3,0.002036112491142910663528338614,False
alpha,Passive_W_Bottom_Plate_detector_bay,74183,W-183,0,1,Passive_W_Bottom_Plate_detector_bay,3,0,False
alpha,Plate_300K_Top_Service_Lid,9018,F-18,0,1,Plate_300K_Top_Service_Lid,1,0.0006787041637143035545094462046,False
alpha,Plate_300K_Top_Service_Lid,11022,Na-22,0,1,Plate_300K_Top_Service_Lid,1,0.000007384870456198248807516784355,False
alpha,Plate_300K_Top_Service_Lid,11024,Na-24,0,1,Plate_300K_Top_Service_Lid,1,0.0006787041251925757230235456049,False
alpha,Plate_300K_Top_Service_Lid,12027,Mg-27,0,1,Plate_300K_Top_Service_Lid,1,0.0006787041637143035545094462046,False
alpha,Plate_300K_Top_Service_Lid,13026,Al-26,0,1,Plate_300K_Top_Service_Lid,4,0.0000000001077823964394627649321703059,False
alpha,Plate_300K_Top_Service_Lid,13028,Al-28,0,1,Plate_300K_Top_Service_Lid,1,0.0006787041637143035545094462046,False
alpha,Plate_300K_Top_Service_Lid,15029,P-29,0,1,Plate_300K_Top_Service_Lid,1,0.0006787041637143035545094462046,False
alpha,Plate_300K_Top_Service_Lid,15030,P-30,0,1,Plate_300K_Top_Service_Lid,2,0.001357408327428607109018892409,False
alpha,Vacuum_Jacket_Al_266mmClass_side_port_bottom_cap,11024,Na-24,0,1,Vacuum_Jacket_Al_266mmClass_side_port_bottom_cap,1,0.0006787041251925757230235456049,False
alpha,Vacuum_Jacket_Al_266mmClass_side_port_bottom_cap,13026,Al-26,0,1,Vacuum_Jacket_Al_266mmClass_side_port_bottom_cap,1,0.00000000002694559910986569123304257647,False
alpha,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,9018,F-18,0,1,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,1,0.0006787041637143035545094462046,False
alpha,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,11022,Na-22,0,1,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,2,0.00001476974091239649761503356871,False
alpha,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,12027,Mg-27,0,1,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,2,0.001357408327428607109018892409,False
alpha,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,13026,Al-26,0,1,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,8,0.0000000002155647928789255298643406117,False
alpha,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,13028,Al-28,0,1,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,1,0.0006787041637143035545094462046,False
alpha,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,14027,Si-27,0,1,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,1,0.0006787041637143035545094462046,False
alpha,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,15030,P-30,0,1,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,5,0.003393520818571517772547231023,False
alpha,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_below_side_port,9020,F-20,0,1,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_below_side_port,1,0.0006787041637143035545094462046,False
alpha,Window,11025,Na-25,0,1,Outer_Al_Mechanical_Shell_detector_bay_side_wall_rectcut_window_band,1,0.0006787041637143035545094462046,False
alpha,Window,13025,Al-25,0,1,Shield_60K_Al_side_window_side_wall_below_side_port,1,0.0006787041637143035545094462046,False
alpha,Window,13026,Al-26,0,4,Outer_Al_Mechanical_Shell_detector_bay_side_wall_rectcut_window_band;Shield_4K_Al_side_window_side_wall_above_side_port;Shield_60K_Al_side_window_side_wall_above_side_port;Still_Shield_Al_side_window_side_wall_below_side_port,4,0.0000000001077823964394627649321703059,True
alpha,Window,13028,Al-28,0,2,Outer_Al_Mechanical_Shell_detector_bay_side_wall_rectcut_window_band;Shield_60K_Al_side_window_side_wall_above_side_port,2,0.001357408327428607109018892409,True
alpha,Window,14027,Si-27,0,1,Shield_4K_Al_side_window_side_wall_above_side_port,1,0.0006787041637143035545094462046,False
alpha,Window,15030,P-30,0,2,Outer_Al_Mechanical_Shell_detector_bay_side_wall_rectcut_window_band;Shield_60K_Al_side_window_side_wall_above_side_port,3,0.002036112491142910663528338614,True
alpha,Window,26055,Fe-55,0,1,Cu_50mK_StillLike_Can_side_wall_rectcut_window_band,1,0.000006973575649685694137896397167,False
alpha,Window,53122,I-122,0,1,CsI_Side_Segment_04_rectcut_window_band,1,0.0006787041637143035545094462046,False
eplus,CsI_Bottom_Quadrant_00,53125,I-125,0,1,CsI_Bottom_Quadrant_00,1,0.0001089638476606374420895789739,False
eplus,CsI_Bottom_Quadrant_00,53126,I-126,0,1,CsI_Bottom_Quadrant_00,1,0.000374885164168119549906773382,False
eplus,CsI_Bottom_Quadrant_01,55132,Cs-132,0,1,CsI_Bottom_Quadrant_01,1,0.0005421334477034683830134859699,False
eplus,CsI_Side_Segment_03_below_side_port,55132,Cs-132,0,1,CsI_Side_Segment_03_below_side_port,1,0.0005421334477034683830134859699,False
muminus,ColdPlate_4K,27062,Co-62,0,1,ColdPlate_4K,1,0.0006753252366339629165406059558,False
muminus,ColdPlate_4K,27064,Co-64,0,1,ColdPlate_4K,1,0.0006753252366339629165406059558,False
muminus,ColdPlate_4K,28063,Ni-63,0,1,ColdPlate_4K,2,0.0000003798637745589077694817824265,False
muminus,ColdPlate_4K,28065,Ni-65,0,1,ColdPlate_4K,1,0.0006753252366339629165406059558,False
muminus,ColdPlate_4K,29062,Cu-62,0,1,ColdPlate_4K,2,0.001350650473267925833081211912,False
muminus,ColdPlate_4K,29064,Cu-64,0,1,ColdPlate_4K,1,0.0006753252346540412812810649609,False
muminus,ColdPlate_60K,10023,Ne-23,0,1,ColdPlate_60K,1,0.0006753252366339629165406059558,False
muminus,ColdPlate_60K,10024,Ne-24,0,1,ColdPlate_60K,1,0.0006753252366339629165406059558,False
muminus,ColdPlate_60K,11026,Na-26,0,1,ColdPlate_60K,1,0.0006753252366339629165406059558,False
muminus,ColdPlate_60K,12027,Mg-27,0,1,ColdPlate_60K,6,0.004051951419803777499243635735,False
muminus,ColdPlate_CP_100mK_intercept,27062,Co-62,0,1,ColdPlate_CP_100mK_intercept,1,0.0006753252366339629165406059558,False
muminus,ColdPlate_CP_100mK_intercept,29062,Cu-62,0,1,ColdPlate_CP_100mK_intercept,1,0.0006753252366339629165406059558,False
muminus,ColdPlate_MXC_50mK_SD_anchor,28063,Ni-63,0,1,ColdPlate_MXC_50mK_SD_anchor,1,0.0000001899318872794538847408912132,False
muminus,ColdPlate_MXC_50mK_SD_anchor,29066,Cu-66,0,1,ColdPlate_MXC_50mK_SD_anchor,1,0.0006753252366339629165406059558,False
muminus,CsI_Bottom_Quadrant_00,52123,Te-123,0,1,CsI_Bottom_Quadrant_00,2,0,False
muminus,CsI_Bottom_Quadrant_00,52127,Te-127,0,1,CsI_Bottom_Quadrant_00,1,0.0006753252366322288839305009292,False
muminus,CsI_Bottom_Quadrant_00,53125,I-125,0,1,CsI_Bottom_Quadrant_00,1,0.0001084531605693680306435579375,False
muminus,CsI_Bottom_Quadrant_00,53126,I-126,0,1,CsI_Bottom_Quadrant_00,1,0.0003731281684474349121536932186,False
muminus,CsI_Bottom_Quadrant_00,53128,I-128,0,1,CsI_Bottom_Quadrant_00,1,0.0006753252366339629165406059558,False
muminus,CsI_Bottom_Quadrant_00,55132,Cs-132,0,1,CsI_Bottom_Quadrant_00,2,0.001079185199790794236504300471,False
muminus,CsI_Bottom_Quadrant_00,55134,Cs-134,0,1,CsI_Bottom_Quadrant_00,5,0.00004622740230650401008125513247,False
muminus,CsI_Bottom_Quadrant_01,52121,Te-121,0,1,CsI_Bottom_Quadrant_01,1,0.0002811648243619034852184812205,False
muminus,CsI_Bottom_Quadrant_01,52123,Te-123,0,1,CsI_Bottom_Quadrant_01,1,0,False
muminus,CsI_Bottom_Quadrant_01,52127,Te-127,0,1,CsI_Bottom_Quadrant_01,2,0.001350650473264457767861001859,False
muminus,CsI_Bottom_Quadrant_01,53126,I-126,0,1,CsI_Bottom_Quadrant_01,1,0.0003731281684474349121536932186,False
muminus,CsI_Bottom_Quadrant_01,53128,I-128,0,1,CsI_Bottom_Quadrant_01,5,0.003376626183169814582703029779,False
muminus,CsI_Bottom_Quadrant_01,54133,Xe-133,0,1,CsI_Bottom_Quadrant_01,1,0.0005822142091176486796040973333,False
muminus,CsI_Bottom_Quadrant_01,55131,Cs-131,0,1,CsI_Bottom_Quadrant_01,2,0.000888797041550174639106193543,False
muminus,CsI_Bottom_Quadrant_01,55132,Cs-132,0,1,CsI_Bottom_Quadrant_01,1,0.0005395925998953971182521502355,False
muminus,CsI_Bottom_Quadrant_01,55134,Cs-134,0,1,CsI_Bottom_Quadrant_01,5,0.00004622740230650401008125513247,False
muminus,CsI_Bottom_Quadrant_02,51124,Sb-124,0,1,CsI_Bottom_Quadrant_02,1,0.0001071196421334709218459610148,False
muminus,CsI_Bottom_Quadrant_02,52127,Te-127,0,1,CsI_Bottom_Quadrant_02,1,0.0006753252366322288839305009292,False
muminus,CsI_Bottom_Quadrant_02,53126,I-126,0,1,CsI_Bottom_Quadrant_02,2,0.0007462563368948698243073864375,False
muminus,CsI_Bottom_Quadrant_02,53128,I-128,0,1,CsI_Bottom_Quadrant_02,3,0.002025975709901888749621817867,False
muminus,CsI_Bottom_Quadrant_02,53129,I-129,0,1,CsI_Bottom_Quadrant_02,2,0.000000000002382132593931336576695336475,False
muminus,CsI_Bottom_Quadrant_02,53131,I-131,0,1,CsI_Bottom_Quadrant_02,1,0.0004904694377864286640446038812,False
muminus,CsI_Bottom_Quadrant_02,55132,Cs-132,0,1,CsI_Bottom_Quadrant_02,1,0.0005395925998953971182521502355,False
muminus,CsI_Bottom_Quadrant_02,55134,Cs-134,0,1,CsI_Bottom_Quadrant_02,2,0.00001849096092260160403250205299,False
muminus,CsI_Bottom_Quadrant_03,53125,I-125,0,1,CsI_Bottom_Quadrant_03,2,0.0002169063211387360612871158751,False
muminus,CsI_Bottom_Quadrant_03,53126,I-126,0,1,CsI_Bottom_Quadrant_03,1,0.0003731281684474349121536932186,False
muminus,CsI_Bottom_Quadrant_03,53128,I-128,0,1,CsI_Bottom_Quadrant_03,5,0.003376626183169814582703029779,False
muminus,CsI_Bottom_Quadrant_03,55132,Cs-132,0,1,CsI_Bottom_Quadrant_03,1,0.0005395925998953971182521502355,False
muminus,CsI_Bottom_Quadrant_03,55134,Cs-134,0,1,CsI_Bottom_Quadrant_03,3,0.00002773644138390240604875307948,False
muminus,CsI_Side_Segment_00,52119,Te-119,0,1,CsI_Side_Segment_00,1,0.0006753251171145887809569088473,False
muminus,CsI_Side_Segment_00,53124,I-124,0,1,CsI_Side_Segment_00,1,0.0006193202013127229248606128711,False
muminus,CsI_Side_Segment_00,53126,I-126,0,1,CsI_Side_Segment_00,1,0.0003731281684474349121536932186,False
muminus,CsI_Side_Segment_00,53132,I-132,0,1,CsI_Side_Segment_00,1,0.0006753252366339629165406059558,False
muminus,CsI_Side_Segment_00,55131,Cs-131,0,1,CsI_Side_Segment_00,1,0.0004443985207750873195530967714,False
muminus,CsI_Side_Segment_00,55134,Cs-134,0,1,CsI_Side_Segment_00,4,0.00003698192184520320806500410597,False
muminus,CsI_Side_Segment_01,51122,Sb-122,0,1,CsI_Side_Segment_01,1,0.0006604748725264852427929290746,False
muminus,CsI_Side_Segment_01,52123,Te-123,0,1,CsI_Side_Segment_01,1,0,False
muminus,CsI_Side_Segment_01,53125,I-125,0,1,CsI_Side_Segment_01,1,0.0001084531605693680306435579375,False
muminus,CsI_Side_Segment_01,55132,Cs-132,0,1,CsI_Side_Segment_01,5,0.002697962999476985591260751178,False
muminus,CsI_Side_Segment_01,55134,Cs-134,0,1,CsI_Side_Segment_01,1,0.000009245480461300802016251026494,False
muminus,CsI_Side_Segment_02,52127,Te-127,0,1,CsI_Side_Segment_02,1,0.0006753252366322288839305009292,False
muminus,CsI_Side_Segment_02,53124,I-124,0,1,CsI_Side_Segment_02,1,0.0006193202013127229248606128711,False
muminus,CsI_Side_Segment_02,53126,I-126,0,1,CsI_Side_Segment_02,1,0.0003731281684474349121536932186,False
muminus,CsI_Side_Segment_02,53128,I-128,0,1,CsI_Side_Segment_02,2,0.001350650473267925833081211912,False
muminus,CsI_Side_Segment_02,55132,Cs-132,0,1,CsI_Side_Segment_02,2,0.001079185199790794236504300471,False
muminus,CsI_Side_Segment_03_above_side_port,53128,I-128,0,1,CsI_Side_Segment_03_above_side_port,1,0.0006753252366339629165406059558,False
muminus,CsI_Side_Segment_03_above_side_port,53129,I-129,0,1,CsI_Side_Segment_03_above_side_port,3,0.00000000000357319889089700486504300471,False
muminus,CsI_Side_Segment_03_above_side_port,54127,Xe-127,0,1,CsI_Side_Segment_03_above_side_port,1,0.0001680260357677652002204261572,False
muminus,CsI_Side_Segment_03_above_side_port,55134,Cs-134,0,1,CsI_Side_Segment_03_above_side_port,1,0.000009245480461300802016251026494,False
muminus,CsI_Side_Segment_03_below_side_port,51125,Sb-125,0,1,CsI_Side_Segment_03_below_side_port,1,0.000006935353097103601644552016251,False
muminus,CsI_Side_Segment_03_below_side_port,53125,I-125,0,1,CsI_Side_Segment_03_below_side_port,1,0.0001084531605693680306435579375,False
muminus,CsI_Side_Segment_03_below_side_port,53128,I-128,0,1,CsI_Side_Segment_03_below_side_port,1,0.0006753252366339629165406059558,False
muminus,CsI_Side_Segment_03_below_side_port,55134,Cs-134,0,1,CsI_Side_Segment_03_below_side_port,2,0.00001849096092260160403250205299,False
muminus,CsI_Side_Segment_04_above_side_port,51122,Sb-122,0,1,CsI_Side_Segment_04_above_side_port,1,0.0006604748725264852427929290746,False
muminus,CsI_Side_Segment_04_above_side_port,53128,I-128,0,1,CsI_Side_Segment_04_above_side_port,1,0.0006753252366339629165406059558,False
muminus,CsI_Side_Segment_04_above_side_port,55134,Cs-134,0,1,CsI_Side_Segment_04_above_side_port,2,0.00001849096092260160403250205299,False
muminus,CsI_Side_Segment_04_below_side_port,53128,I-128,0,1,CsI_Side_Segment_04_below_side_port,1,0.0006753252366339629165406059558,False
muminus,CsI_Side_Segment_04_below_side_port,53129,I-129,0,1,CsI_Side_Segment_04_below_side_port,1,0.000000000001191066296965668288347668237,False
muminus,CsI_Side_Segment_04_below_side_port,55131,Cs-131,0,1,CsI_Side_Segment_04_below_side_port,1,0.0004443985207750873195530967714,False
muminus,CsI_Side_Segment_04_below_side_port,55132,Cs-132,0,1,CsI_Side_Segment_04_below_side_port,2,0.001079185199790794236504300471,False
muminus,CsI_Side_Segment_04_below_side_port,55134,Cs-134,0,1,CsI_Side_Segment_04_below_side_port,1,0.000009245480461300802016251026494,False
muminus,CsI_Side_Segment_05,52127,Te-127,0,1,CsI_Side_Segment_05,1,0.0006753252366322288839305009292,False
muminus,CsI_Side_Segment_05,53126,I-126,0,1,CsI_Side_Segment_05,1,0.0003731281684474349121536932186,False
muminus,CsI_Side_Segment_05,53128,I-128,0,1,CsI_Side_Segment_05,2,0.001350650473267925833081211912,False
muminus,CsI_Side_Segment_05,54133,Xe-133,0,1,CsI_Side_Segment_05,1,0.0005822142091176486796040973333,False
muminus,CsI_Side_Segment_05,55131,Cs-131,0,1,CsI_Side_Segment_05,1,0.0004443985207750873195530967714,False
muminus,CsI_Side_Segment_06,52127,Te-127,0,1,CsI_Side_Segment_06,1,0.0006753252366322288839305009292,False
muminus,CsI_Side_Segment_06,53126,I-126,0,1,CsI_Side_Segment_06,1,0.0003731281684474349121536932186,False
muminus,CsI_Side_Segment_06,53128,I-128,0,1,CsI_Side_Segment_06,2,0.001350650473267925833081211912,False
muminus,CsI_Side_Segment_06,54133,Xe-133,0,1,CsI_Side_Segment_06,2,0.001164428418235297359208194667,False
muminus,CsI_Side_Segment_06,55132,Cs-132,0,1,CsI_Side_Segment_06,4,0.002158370399581588473008600942,False
muminus,CsI_Side_Segment_06,55134,Cs-134,0,1,CsI_Side_Segment_06,1,0.000009245480461300802016251026494,False
muminus,CsI_Side_Segment_07,53125,I-125,0,1,CsI_Side_Segment_07,1,0.0001084531605693680306435579375,False
muminus,CsI_Side_Segment_07,55132,Cs-132,0,1,CsI_Side_Segment_07,2,0.001079185199790794236504300471,False
muminus,CsI_Side_Segment_07,55134,Cs-134,0,1,CsI_Side_Segment_07,1,0.000009245480461300802016251026494,False
