replica_index,response_seed,prompt_final_events,prompt_final_cps,delayed_final_events,delayed_final_cps,atm511_final_events,atm511_final_cps,science_final_events,science_unit_acceptance,day15_background_cps,day15_signal_cps,delayed_alpha_final_events,delayed_alpha_final_cps,delayed_eminus_final_events,delayed_eminus_final_cps,delayed_eplus_final_events,delayed_eplus_final_cps,delayed_gamma_final_events,delayed_gamma_final_cps,delayed_muminus_final_events,delayed_muminus_final_cps,delayed_muplus_final_events,delayed_muplus_final_cps,delayed_n_final_events,delayed_n_final_cps,delayed_p_final_events,delayed_p_final_cps
10,26150491,5,0.003393031514121508,79,0.0020493745591745266,8,0.0015552613519498118,27929,0.7509006829058451,0.006997667425245846,0.001114598603351013,1,3.481826869560595e-07,0,0.0,0,0.0,0,0.0,5,2.1045431805048917e-05,0,0.0,61,0.002001037003770418,12,2.6943940912105563e-05
11,26158410,5,0.003393031514121508,77,0.002012361587505806,9,0.0017496690209435383,27929,0.7509006829058451,0.007155062122570852,0.001114598603351013,1,3.481826869560595e-07,0,0.0,0,0.0,0,0.0,4,1.6836345444039133e-05,0,0.0,60,0.001968233118462706,12,2.6943940912105563e-05
12,26166329,4,0.002714184522160414,82,0.002117227658199294,8,0.0015552613519498118,27920,0.7506587083938271,0.00638667353230952,0.0011142394287500551,1,3.481826869560595e-07,0,0.0,0,0.0,0,0.0,5,2.1045431805048917e-05,0,0.0,63,0.0020666447743858413,13,2.9189269321447693e-05
13,26174248,5,0.003393031514121508,77,0.001981803030607436,8,0.0015552613519498118,27958,0.7516803785556812,0.006930095896678756,0.0011157559437318782,1,3.481826869560595e-07,0,0.0,0,0.0,0,0.0,4,1.6836345444039133e-05,0,0.0,59,0.0019354292331549942,13,2.9189269321447693e-05
14,26182167,3,0.0020357386787606406,78,0.002014606915915148,8,0.0015552613519498118,27881,0.7496101521750821,0.0056056069466256,0.0011126830054792366,1,3.481826869560595e-07,0,0.0,0,0.0,0,0.0,4,1.6836345444039133e-05,0,0.0,60,0.001968233118462706,13,2.9189269321447693e-05
15,26190086,5,0.003393031514121508,77,0.001953208231660735,9,0.0017496690209435383,27959,0.751707264612572,0.007095908766725781,0.0011157958520208735,1,3.481826869560595e-07,0,0.0,0,0.0,0,0.0,5,2.1045431805048917e-05,0,0.0,58,0.0019026253478472825,13,2.9189269321447693e-05
16,26198005,5,0.003393031514121508,79,0.0020474108012228593,9,0.0017496690209435383,27928,0.7508737968489543,0.007190111336287905,0.0011145586950620178,1,3.481826869560595e-07,0,0.0,0,0.0,0,0.0,4,1.6836345444039133e-05,0,0.0,61,0.002001037003770418,13,2.9189269321447693e-05
17,26205924,4,0.0027145856707217345,80,0.0020516198875838703,9,0.0017496690209435383,28018,0.7532935419691349,0.006515874579249143,0.001118150441071599,1,3.481826869560595e-07,0,0.0,0,0.0,0,0.0,5,2.1045431805048917e-05,0,0.0,61,0.002001037003770418,13,2.9189269321447693e-05
18,26213843,4,0.0027145856707217345,77,0.001983766788559104,9,0.0017496690209435383,27935,0.7510619992471905,0.006448021480224377,0.0011148380530849853,1,3.481826869560595e-07,0,0.0,0,0.0,0,0.0,5,2.1045431805048917e-05,0,0.0,59,0.0019354292331549942,12,2.6943940912105563e-05
19,26221762,5,0.003393031514121508,78,0.0020451654728135173,9,0.0017496690209435383,27906,0.7502823035973545,0.0071878660078785635,0.0011136807127041203,1,3.481826869560595e-07,0,0.0,0,0.0,0,0.0,4,1.6836345444039133e-05,0,0.0,61,0.002001037003770418,12,2.6943940912105563e-05
20,26229681,5,0.003393031514121508,79,0.0020188160022761572,9,0.0017496690209435383,27942,0.7512502016454268,0.007161516537341203,0.0011151174111079527,1,3.481826869560595e-07,0,0.0,0,0.0,0,0.0,5,2.1045431805048917e-05,0,0.0,60,0.001968233118462706,13,2.9189269321447693e-05
21,26237600,5,0.003393031514121508,73,0.0019136017488957152,9,0.0017496690209435383,27929,0.7509006829058451,0.0070563022839607616,0.001114598603351013,0,0.0,0,0.0,0,0.0,0,0.0,4,1.6836345444039133e-05,0,0.0,57,0.0018698214625395707,12,2.6943940912105563e-05
22,26245519,5,0.003393031514121508,78,0.002014606915915148,9,0.0017496690209435383,27915,0.7505242781093726,0.007157307450980194,0.0011140398873050784,1,3.481826869560595e-07,0,0.0,0,0.0,0,0.0,4,1.6836345444039133e-05,0,0.0,60,0.001968233118462706,13,2.9189269321447693e-05
23,26253438,5,0.003393031514121508,75,0.0019773123737887523,9,0.0017496690209435383,27930,0.750927568962736,0.007120012908853799,0.0011146385116400086,1,3.481826869560595e-07,0,0.0,0,0.0,0,0.0,4,1.6836345444039133e-05,0,0.0,59,0.0019354292331549942,11,2.4698612502763433e-05
24,26261357,5,0.003393031514121508,76,0.0019489991452997255,9,0.0017496690209435383,27945,0.7513308598160995,0.007091699680364771,0.0011152371359749386,1,3.481826869560595e-07,0,0.0,0,0.0,0,0.0,4,1.6836345444039133e-05,0,0.0,58,0.0019026253478472825,13,2.9189269321447693e-05
25,26269276,5,0.003393031514121508,79,0.0020760056001695613,9,0.0017496690209435383,27944,0.7513039737592085,0.0072187061352346074,0.0011151972276859433,1,3.481826869560595e-07,0,0.0,0,0.0,0,0.0,3,1.2627259083029349e-05,0,0.0,62,0.0020338408890781296,13,2.9189269321447693e-05
26,26277195,5,0.003393031514121508,77,0.001983766788559104,9,0.0017496690209435383,27909,0.7503629617680272,0.00712646732362415,0.0011138004375711062,1,3.481826869560595e-07,0,0.0,0,0.0,0,0.0,5,2.1045431805048917e-05,0,0.0,59,0.0019354292331549942,12,2.6943940912105563e-05
27,26285114,5,0.003393031514121508,79,0.0020779693581212287,9,0.0017496690209435383,27980,0.7522718718072808,0.007220669893186275,0.0011166339260897757,1,3.481826869560595e-07,0,0.0,0,0.0,0,0.0,4,1.6836345444039133e-05,0,0.0,62,0.0020338408890781296,12,2.6943940912105563e-05
28,26293033,5,0.003393031514121508,76,0.002010116259096464,7,0.0013608536829560853,27965,0.7518685809539174,0.006764001456174057,0.0011160353017548455,1,3.481826869560595e-07,0,0.0,0,0.0,0,0.0,4,1.6836345444039133e-05,0,0.0,60,0.001968233118462706,11,2.4698612502763433e-05
29,26300952,5,0.003393031514121508,77,0.001981803030607436,8,0.0015552613519498118,27918,0.7506049362800453,0.006930095896678756,0.0011141596121720643,1,3.481826869560595e-07,0,0.0,0,0.0,0,0.0,4,1.6836345444039133e-05,0,0.0,59,0.0019354292331549942,13,2.9189269321447693e-05
30,26308871,5,0.003393031514121508,79,0.0020188160022761572,9,0.0017496690209435383,27906,0.7502823035973545,0.007161516537341203,0.0011136807127041203,1,3.481826869560595e-07,0,0.0,0,0.0,0,0.0,5,2.1045431805048917e-05,0,0.0,60,0.001968233118462706,13,2.9189269321447693e-05
31,26316790,5,0.003393031514121508,76,0.0019528600489737793,9,0.0017496690209435383,27963,0.7518148088401356,0.007095560584038826,0.001115955485176855,0,0.0,0,0.0,0,0.0,0,0.0,5,2.1045431805048917e-05,0,0.0,58,0.0019026253478472825,13,2.9189269321447693e-05
32,26324709,5,0.003393031514121508,73,0.00185058748937659,9,0.0017496690209435383,27974,0.7521105554659355,0.006993288024441636,0.0011163944763558037,1,3.481826869560595e-07,0,0.0,0,0.0,0,0.0,4,1.6836345444039133e-05,0,0.0,55,0.0018042136919241471,13,2.9189269321447693e-05
33,26332628,5,0.003393031514121508,76,0.0020139771627705177,8,0.0015552613519498118,27918,0.7506049362800453,0.006962270028841837,0.0011141596121720643,0,0.0,0,0.0,0,0.0,0,0.0,5,2.1045431805048917e-05,0,0.0,60,0.001968233118462706,11,2.4698612502763433e-05
34,26340547,5,0.003393031514121508,79,0.0020474108012228593,8,0.0015552613519498118,27904,0.7502285314835727,0.006995703667294179,0.0011136008961261294,1,3.481826869560595e-07,0,0.0,0,0.0,0,0.0,4,1.6836345444039133e-05,0,0.0,61,0.002001037003770418,13,2.9189269321447693e-05
35,26348466,5,0.003393031514121508,79,0.002079933116072897,9,0.0017496690209435383,27896,0.7500134430284455,0.007222633651137943,0.0011132816298141668,1,3.481826869560595e-07,0,0.0,0,0.0,0,0.0,5,2.1045431805048917e-05,0,0.0,62,0.0020338408890781296,11,2.4698612502763433e-05
36,26356385,5,0.003393031514121508,74,0.0019139499315826715,9,0.0017496690209435383,27908,0.7503360757111364,0.007056650466647717,0.001113760529282111,1,3.481826869560595e-07,0,0.0,0,0.0,0,0.0,4,1.6836345444039133e-05,0,0.0,57,0.0018698214625395707,12,2.6943940912105563e-05
37,26364304,5,0.003393031514121508,78,0.001986012116968446,9,0.0017496690209435383,27903,0.7502016454266818,0.007128712652033492,0.0011135609878371341,1,3.481826869560595e-07,0,0.0,0,0.0,0,0.0,5,2.1045431805048917e-05,0,0.0,59,0.0019354292331549942,13,2.9189269321447693e-05
38,26372223,5,0.003393031514121508,75,0.0019447900589387155,9,0.0017496690209435383,27922,0.7507124805076089,0.007087490594003762,0.0011143192453280458,1,3.481826869560595e-07,0,0.0,0,0.0,0,0.0,3,1.2627259083029349e-05,0,0.0,58,0.0019026253478472825,13,2.9189269321447693e-05
39,26380142,4,0.0027145856707217345,78,0.001986012116968446,8,0.0015552613519498118,27910,0.7503898478249181,0.006255859139639992,0.0011138403458601017,1,3.481826869560595e-07,0,0.0,0,0.0,0,0.0,5,2.1045431805048917e-05,0,0.0,59,0.0019354292331549942,13,2.9189269321447693e-05
40,26388061,5,0.003393031514121508,80,0.0020802146865305723,9,0.0017496690209435383,27992,0.7525945044899716,0.0072229152215956185,0.0011171128255577198,1,3.481826869560595e-07,0,0.0,0,0.0,0,0.0,4,1.6836345444039133e-05,0,0.0,62,0.0020338408890781296,13,2.9189269321447693e-05
41,26395980,4,0.0027145856707217345,73,0.00185058748937659,9,0.0017496690209435383,28011,0.7531053395708986,0.006314842181041862,0.0011178710830486314,1,3.481826869560595e-07,0,0.0,0,0.0,0,0.0,4,1.6836345444039133e-05,0,0.0,55,0.0018042136919241471,13,2.9189269321447693e-05
42,26403899,5,0.003393031514121508,79,0.0020493745591745266,9,0.0017496690209435383,27913,0.7504705059955907,0.007192075094239573,0.0011139600707270876,1,3.481826869560595e-07,0,0.0,0,0.0,0,0.0,5,2.1045431805048917e-05,0,0.0,61,0.002001037003770418,12,2.6943940912105563e-05
43,26411818,5,0.003393031514121508,77,0.002012361587505806,9,0.0017496690209435383,27973,0.7520836694090446,0.007155062122570852,0.0011163545680668084,1,3.481826869560595e-07,0,0.0,0,0.0,0,0.0,4,1.6836345444039133e-05,0,0.0,60,0.001968233118462706,12,2.6943940912105563e-05
44,26419737,5,0.003393031514121508,77,0.001981803030607436,9,0.0017496690209435383,27873,0.7493950637199549,0.007124503565672483,0.0011123637391672737,1,3.481826869560595e-07,0,0.0,0,0.0,0,0.0,4,1.6836345444039133e-05,0,0.0,59,0.0019354292331549942,13,2.9189269321447693e-05
45,26427656,5,0.003393031514121508,77,0.001983766788559104,9,0.0017496690209435383,27908,0.7503360757111364,0.00712646732362415,0.001113760529282111,1,3.481826869560595e-07,0,0.0,0,0.0,0,0.0,5,2.1045431805048917e-05,0,0.0,59,0.0019354292331549942,12,2.6943940912105563e-05
46,26435575,4,0.002714184522160414,78,0.0020165706738668153,9,0.0017496690209435383,27907,0.7503091896542454,0.006480424216970767,0.0011137206209931156,1,3.481826869560595e-07,0,0.0,0,0.0,0,0.0,5,2.1045431805048917e-05,0,0.0,60,0.001968233118462706,12,2.6943940912105563e-05
47,26443494,5,0.003393031514121508,79,0.0020493745591745266,9,0.0017496690209435383,27920,0.7506587083938271,0.007192075094239573,0.0011142394287500551,1,3.481826869560595e-07,0,0.0,0,0.0,0,0.0,5,2.1045431805048917e-05,0,0.0,61,0.002001037003770418,12,2.6943940912105563e-05
48,26451413,5,0.003393031514121508,77,0.001983766788559104,9,0.0017496690209435383,27890,0.7498521266871002,0.00712646732362415,0.0011130421800801947,1,3.481826869560595e-07,0,0.0,0,0.0,0,0.0,5,2.1045431805048917e-05,0,0.0,59,0.0019354292331549942,12,2.6943940912105563e-05
49,26459332,5,0.003393031514121508,80,0.0020802146865305723,8,0.0015552613519498118,27918,0.7506049362800453,0.007028507552601892,0.0011141596121720643,1,3.481826869560595e-07,0,0.0,0,0.0,0,0.0,4,1.6836345444039133e-05,0,0.0,62,0.0020338408890781296,13,2.9189269321447693e-05
50,26467251,4,0.0027145856707217345,77,0.001981803030607436,9,0.0017496690209435383,27951,0.7514921761574449,0.006446057722272709,0.0011154765857089109,1,3.481826869560595e-07,0,0.0,0,0.0,0,0.0,4,1.6836345444039133e-05,0,0.0,59,0.0019354292331549942,13,2.9189269321447693e-05
51,26475170,5,0.003393031514121508,75,0.0019467538168903833,9,0.0017496690209435383,27906,0.7502823035973545,0.0070894543519554295,0.0011136807127041203,1,3.481826869560595e-07,0,0.0,0,0.0,0,0.0,4,1.6836345444039133e-05,0,0.0,58,0.0019026253478472825,12,2.6943940912105563e-05
52,26483089,4,0.0027145856707217345,80,0.0020516198875838703,9,0.0017496690209435383,27966,0.7518954670108083,0.006515874579249143,0.001116075210043841,1,3.481826869560595e-07,0,0.0,0,0.0,0,0.0,5,2.1045431805048917e-05,0,0.0,61,0.002001037003770418,13,2.9189269321447693e-05
53,26491008,4,0.002714184522160414,79,0.0020779693581212287,9,0.0017496690209435383,27992,0.7525945044899716,0.006541822901225181,0.0011171128255577198,1,3.481826869560595e-07,0,0.0,0,0.0,0,0.0,4,1.6836345444039133e-05,0,0.0,62,0.0020338408890781296,12,2.6943940912105563e-05
54,26498927,5,0.003393031514121508,77,0.0020448172901265617,9,0.0017496690209435383,27872,0.7493681776630641,0.007187517825191608,0.0011123238308782784,0,0.0,0,0.0,0,0.0,0,0.0,4,1.6836345444039133e-05,0,0.0,61,0.002001037003770418,12,2.6943940912105563e-05
55,26506846,3,0.0020357386787606406,79,0.0020188160022761572,9,0.0017496690209435383,27926,0.7508200247351724,0.0058042237019803366,0.001114478878484027,1,3.481826869560595e-07,0,0.0,0,0.0,0,0.0,5,2.1045431805048917e-05,0,0.0,60,0.001968233118462706,13,2.9189269321447693e-05
56,26514765,5,0.003393031514121508,80,0.0021088094854772744,9,0.0017496690209435383,27908,0.7503360757111364,0.0072515100205423205,0.001113760529282111,1,3.481826869560595e-07,0,0.0,0,0.0,0,0.0,3,1.2627259083029349e-05,0,0.0,63,0.0020666447743858413,13,2.9189269321447693e-05
57,26522684,5,0.003393031514121508,79,0.0020474108012228593,9,0.0017496690209435383,27920,0.7506587083938271,0.007190111336287905,0.0011142394287500551,1,3.481826869560595e-07,0,0.0,0,0.0,0,0.0,4,1.6836345444039133e-05,0,0.0,61,0.002001037003770418,13,2.9189269321447693e-05
58,26530603,5,0.003393031514121508,78,0.002014606915915148,8,0.0015552613519498118,27921,0.7506855944507179,0.006962899781986468,0.0011142793370390502,1,3.481826869560595e-07,0,0.0,0,0.0,0,0.0,4,1.6836345444039133e-05,0,0.0,60,0.001968233118462706,13,2.9189269321447693e-05
59,26538522,5,0.003393031514121508,74,0.0019139499315826715,9,0.0017496690209435383,27884,0.7496908103457548,0.007056650466647717,0.0011128027303462225,1,3.481826869560595e-07,0,0.0,0,0.0,0,0.0,4,1.6836345444039133e-05,0,0.0,57,0.0018698214625395707,12,2.6943940912105563e-05
60,26546441,5,0.003393031514121508,76,0.0019775939442464264,9,0.0017496690209435383,27878,0.7495294940044094,0.0071202944793114726,0.0011125632806122505,1,3.481826869560595e-07,0,0.0,0,0.0,0,0.0,3,1.2627259083029349e-05,0,0.0,59,0.0019354292331549942,13,2.9189269321447693e-05
61,26554360,5,0.003393031514121508,79,0.0020779693581212287,9,0.0017496690209435383,27956,0.7516266064418994,0.007220669893186275,0.0011156761271538876,1,3.481826869560595e-07,0,0.0,0,0.0,0,0.0,4,1.6836345444039133e-05,0,0.0,62,0.0020338408890781296,12,2.6943940912105563e-05
62,26562279,5,0.003393031514121508,75,0.0019506147205644371,9,0.0017496690209435383,27970,0.7520030112383719,0.007093315255629483,0.0011162348431998223,0,0.0,0,0.0,0,0.0,0,0.0,5,2.1045431805048917e-05,0,0.0,58,0.0019026253478472825,12,2.6943940912105563e-05
63,26570198,5,0.003393031514121508,79,0.0020188160022761572,9,0.0017496690209435383,27916,0.7505511641662634,0.007161516537341203,0.0011140797955940735,1,3.481826869560595e-07,0,0.0,0,0.0,0,0.0,5,2.1045431805048917e-05,0,0.0,60,0.001968233118462706,13,2.9189269321447693e-05
