local_id,status,init_energy_keV,depth_projection_cm,depth_distance_cm,first_hit_category,first_hit_volume,plotted
912165,missing coordinate,10045.786,,,other,Plate_300K_Top_Service_Lid,False
259704,active veto reject,550.368,-0.30112262678081114,6.4709992159297665,csi_active,CsI_Bottom_Quadrant_01,False
365643,active veto reject,0.617,1.6175687013746778,1.6175687049572556,outer_mechanics,Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,True
545609,active veto reject,0.167,1.6175782910229697,3.617616099437591,csi_active,CsI_Side_Segment_04_rectcut_window_band,True
591731,active veto reject,332.481,1.4688909676833997,4.601053940872661,passive_shield_or_collimator,ActiveShield_Flex_Kapton_detector_bay_above_side_port,True
610192,final pass,41.776,4.427603674514784,6.050824203833863,csi_active,CsI_Side_Segment_07,True
736476,active veto reject,1.191,2.098660773227984,4.008069784339356,csi_active,CsI_Side_Segment_01,True
795568,missing coordinate,1.873,,,other,ColdPlate_4K,False
813973,final pass,2775.03,28.237763201730903,28.23776320425957,passive_shield_or_collimator,Nb_MagShield_Inner_Cylinder_2mm,True
841723,active veto reject,0.235,10.46814642244073,13.698203823546727,csi_active,CsI_Side_Segment_04_below_side_port,True
894429,active veto reject,0.0,7.149446703236833,8.020445962070433,csi_active,CsI_Bottom_Quadrant_03,True
79531,active veto reject,117.053,-0.15001090560797303,4.317697371763851,csi_active,CsI_Side_Segment_07,False
118972,missing coordinate,0.555,,,other,DR_MXC_Sinter_HEX_AgProxy,False
158363,active veto reject,23.704,15.515837332026258,26.753668478865798,outer_mechanics,MuMetal_MagShield_Outer_Back_ColdFingerCap_2mm,True
164833,active veto reject,0.056,15.69667501341383,15.696675013916224,window_or_side_port,Still_Shield_Al_side_window_bottom_cap,True
180531,active veto reject,0.0,0.8499888914248769,0.9672165488513387,geoopt_plastic_active,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,True
251935,final pass,27.819,1.591896033593167,1.76741369289921,geoopt_plastic_active,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,True
399655,active veto reject,1.168,-9.636198222001366e-05,0.00018314614100773007,geoopt_plastic_active,GeoOpt_S1_PlasticFullWrap_BottomCap_5mm,False
634987,missing coordinate,1.031,,,other,NbTi_Bundle_Still_4K,False
107826,active veto reject,26.445,2.175739549806713,15.151079482596314,csi_active,CsI_Bottom_Quadrant_02,True
243793,active veto reject,12.063,9.232357593175486,9.232357595884702,csi_active,CsI_Side_Segment_03_above_side_port,True
252059,active veto reject,27.357,3.776620553894105,14.711792270122245,other,Passive_W_Bottom_Plate_detector_bay,True
329030,final pass,0.525,20.597123850309792,20.59712385130812,window_or_side_port,Shield_60K_Al_side_window_side_wall_above_side_port,True
361381,final pass,15.082,9.881001128443334,15.180416851416204,csi_active,CsI_Side_Segment_06,True
602847,active veto reject,0.015,4.208950823780141,6.857710670733269,passive_shield_or_collimator,ActiveShield_Flex_Kapton_detector_bay_below_side_port,True
668801,active veto reject,0.021,13.488603850472414,17.28855593878475,csi_active,CsI_Bottom_Quadrant_03,True
928441,missing coordinate,0.0,,,outer_mechanics,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,False
137864,active veto reject,51.949,5.039722288166296,5.434349186110234,csi_active,CsI_Side_Segment_05,True
357387,final pass,0.001,9.097844993043287,9.097844993461292,other,ColdPlate_CP_100mK_intercept,True
370386,active veto reject,4.173,5.968591174004377,6.879908998574395,csi_active,CsI_TopAnnulus_Segment_04,True
585146,active veto reject,0.0,-4.669764330863082e-06,6.27121995132611e-05,geoopt_plastic_active,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,False
745296,active veto reject,1.076,7.727327696540695,8.001528575206185,csi_active,CsI_Side_Segment_00,True
748880,active veto reject,6.622,40.711426063553894,40.82397686616828,other,ColdPlate_MXC_50mK_SD_anchor,True
821539,final pass,0.547,12.365415633860794,13.65250455202723,other,ColdPlate_CP_100mK_intercept,True
887540,active veto reject,10.936,4.9601281977974985,10.325901765967167,csi_active,CsI_Bottom_Quadrant_01,True
