cid,name,category,material,shape,volume_cm3,mass_kg
C037,Vacuum_Jacket_Al_266mmClass_side_port,vacuum_jacket,Aluminium,z_can_open_top,1960.268992838387,5.292726280663645
C038,Win_50mK_Al_foil_side,window,Aluminium,x_disc,0.028293214854156208,7.639168010622177e-05
C039,Win_Still_Al_foil_side,window,Aluminium,x_disc,0.028293214854156208,7.639168010622177e-05
C040,Win_4K_Al_foil_side,window,Aluminium,x_disc,0.028293214854156208,7.639168010622177e-05
C041,Win_60K_Al_foil_side,window,Aluminium,x_disc,0.028293214854156208,7.639168010622177e-05
C042,Win_Be_Vacuum_150um_side,window,Be,x_disc,0.16975928912493723,0.00031405468488113393
C043,Win_Outer_Al_Filter_side,window,Aluminium,x_disc,0.03395185782498745,9.167001612746611e-05
C044,DR_MixingChamber_Cu,dr_unit,Copper,z_cylinder,27.369555198074284,0.24523121457474562
C045,DR_MXC_Sinter_HEX_AgProxy,dr_unit,SilverSinterProxy,z_annulus,33.929200658769766,0.16964600329384882
C046,DR_Continuous_HEX_CuNi_MXC_to_CP,dr_unit,CuNi,z_annulus_phi,12.706485646709266,0.11308772225571248
C047,DR_Continuous_HEX_CuNi_CP_to_Still,dr_unit,CuNi,z_annulus_phi,12.706485646709266,0.11308772225571248
C048,DR_Still_Pot_Cu,dr_unit,Copper,z_cylinder,33.979466141227206,0.30445601662539584
C049,DR_Still_Heater_SS_ring,dr_unit,StainlessSteel,z_annulus,1.0555751316061697,0.008444601052849358
C050,DR_4K_Condenser_Cu,dr_unit,Copper,z_cylinder,12.214512237157116,0.10944202964492777
C051,DR_60K_Charcoal_Trap,dr_unit,CharcoalProxy,z_cylinder,24.950528854810138,0.029940634625772164
C052,DR_Capillary_CuNi_MXC_CP,service_proxy,CuNi,z_annulus_phi,2.3788441165876675,0.021171712637630243
C053,DR_Capillary_CuNi_CP_Still,service_proxy,CuNi,z_annulus_phi,2.3788441165876675,0.021171712637630243
C054,DR_Capillary_CuNi_Still_4K,service_proxy,CuNi,z_annulus_phi,6.870165505124617,0.061144472995609093
C055,DR_Capillary_CuNi_4K_60K,service_proxy,CuNi,z_annulus_phi,7.885689100308699,0.07018263299274743
C056,DR_Still_PumpLine_SS_to_300K_top,service_proxy,StainlessSteel,box,4.064000000000001,0.032512000000000006
C057,PreCool_FlexLink_Cu_remote_interface,service_proxy,Copper,box,1.3499999999999999,0.012096
C058,SQUID_uMUX_Box_Al_relocated_offbeam_minimal,service_proxy,Aluminium,box,2.304,0.006220799999999999
C059,NbTi_Bundle_bay_to_MXC,service_proxy,NbTiCableProxy,z_annulus_phi,16.438697719173998,0.10685153517463099
C060,NbTi_Bundle_MXC_CP,service_proxy,NbTiCableProxy,z_annulus_phi,9.08454347638563,0.059049532596506596
C061,NbTi_Bundle_CP_Still,service_proxy,NbTiCableProxy,z_annulus_phi,9.08454347638563,0.059049532596506596
C062,NbTi_Bundle_Still_4K,service_proxy,NbTiCableProxy,z_annulus_phi,24.56832269257447,0.15969409750173405
C063,NbTi_Bundle_4K_60K,service_proxy,NbTiCableProxy,z_annulus_phi,28.162084776795467,0.18305355104917054
C064,G10_Support_Ring_MXC_CP,support,G10,z_annulus_phi,15.04194562538791,0.027827599406967635
C065,G10_Support_Ring_CP_Still,support,G10,z_annulus_phi,16.229467648444828,0.03002451514962293
C066,G10_Support_Ring_Still_4K,support,G10,z_annulus_phi,36.70951015719675,0.067912593790814
C067,G10_Support_Ring_4K_60K,support,G10,z_annulus_phi,41.98738581522765,0.07767666375817114
C068,G10_Support_Ring_60K_Top,support,G10,z_annulus_phi,39.50552761889179,0.07308522609494982
C069,Passive_Cu_Liner_detector_bay,passive_shield,Copper,z_annulus,109.60488980809043,0.9820598126804904
C070,Passive_W_Liner_detector_bay,passive_shield,W,z_annulus,96.79492009936904,1.8681419579178224
C071,Passive_W_Bottom_Plate_detector_bay,passive_shield,W,z_cylinder,116.55585204971646,2.249527944559528
C072,W_Side_Aperture_Sleeve_collimator,collimator,W,x_tube,16.964600329384883,0.3274167863571283
C073,BGO_Active_Shield_Side00,active_shield_side,BGO,z_annulus_phi_segment,409.71271357151215,2.9089602663577363
C074,BGO_Active_Shield_Side01,active_shield_side,BGO,z_annulus_phi_segment,409.71271357151215,2.9089602663577363
C075,BGO_Active_Shield_Side02,active_shield_side,BGO,z_annulus_phi_segment,409.71271357151215,2.9089602663577363
C076,BGO_Active_Shield_Side03,active_shield_side,BGO,z_annulus_phi_segment,409.71271357151215,2.9089602663577363
C077,BGO_Active_Shield_Side04,active_shield_side,BGO,z_annulus_phi_segment,409.71271357151215,2.9089602663577363
C078,BGO_Active_Shield_Side05,active_shield_side,BGO,z_annulus_phi_segment,409.71271357151215,2.9089602663577363
C079,BGO_Active_Shield_Side06,active_shield_side,BGO,z_annulus_phi_segment,409.71271357151215,2.9089602663577363
C080,BGO_Active_Shield_Side07,active_shield_side,BGO,z_annulus_phi_segment,409.71271357151215,2.9089602663577363
C081,BGO_Active_Shield_Bottom00,active_shield_bottom,BGO,z_annulus_phi_segment,672.2567683687824,4.7730230554183555
C082,BGO_Active_Shield_Bottom01,active_shield_bottom,BGO,z_annulus_phi_segment,672.2567683687824,4.7730230554183555
C083,BGO_Active_Shield_Bottom02,active_shield_bottom,BGO,z_annulus_phi_segment,672.2567683687824,4.7730230554183555
C084,BGO_Active_Shield_Bottom03,active_shield_bottom,BGO,z_annulus_phi_segment,672.2567683687824,4.7730230554183555
C085,BGO_Active_Shield_Top00,active_shield_top,BGO,z_annulus_phi_segment,46.868816261446426,0.33276859545626963
C086,BGO_Active_Shield_Top01,active_shield_top,BGO,z_annulus_phi_segment,46.868816261446426,0.33276859545626963
C087,BGO_Active_Shield_Top02,active_shield_top,BGO,z_annulus_phi_segment,46.868816261446426,0.33276859545626963
C088,BGO_Active_Shield_Top03,active_shield_top,BGO,z_annulus_phi_segment,46.868816261446426,0.33276859545626963
C089,BGO_Active_Shield_Top04,active_shield_top,BGO,z_annulus_phi_segment,46.868816261446426,0.33276859545626963
C090,BGO_Active_Shield_Top05,active_shield_top,BGO,z_annulus_phi_segment,46.868816261446426,0.33276859545626963
C091,BGO_Active_Shield_Top06,active_shield_top,BGO,z_annulus_phi_segment,46.868816261446426,0.33276859545626963
C092,BGO_Active_Shield_Top07,active_shield_top,BGO,z_annulus_phi_segment,46.868816261446426,0.33276859545626963
C093,ActiveShield_Al_Backplane_detector_bay,shield_packaging,Aluminium,z_annulus,169.35333252223592,0.457253997810037
C094,ActiveShield_Flex_Kapton_detector_bay,shield_packaging,Kapton,z_annulus,51.07196699072066,0.07252219312682334
C095,Outer_Al_Mechanical_Shell_detector_bay,outer_shell,Aluminium,z_shell_top_annulus,1031.757910938314,2.7857463595334475
