angle_kind,source_family,entry_class,bin_lo_deg,bin_hi_deg,count
theta,muplus,envelope_miss,130,140,1
theta,muplus,side_wall,90,100,1
theta,muplus,side_wall,120,130,1
theta,muplus,side_wall,130,140,1
theta,muplus,side_wall,150,160,1
theta,muplus,top,130,140,1
theta,n,bottom,20,30,3
theta,n,bottom,30,40,2
theta,n,bottom,40,50,2
theta,n,bottom,50,60,1
theta,n,bottom,60,70,2
theta,n,envelope_miss,20,30,1
theta,n,envelope_miss,60,70,1
theta,n,envelope_miss,70,80,2
theta,n,envelope_miss,80,90,3
theta,n,envelope_miss,100,110,1
theta,n,side_wall,30,40,1
theta,n,side_wall,40,50,5
theta,n,side_wall,50,60,1
theta,n,side_wall,60,70,2
theta,n,side_wall,70,80,6
theta,n,side_wall,80,90,4
theta,n,side_wall,90,100,2
theta,n,side_wall,100,110,2
theta,n,side_wall,110,120,3
theta,n,side_wall,120,130,2
theta,n,side_wall,130,140,1
theta,n,top,90,100,1
theta,n,top,100,110,3
theta,n,top,110,120,4
theta,n,top,120,130,2
theta,n,top,130,140,1
theta,n,top,140,150,1
theta,n,top,150,160,1
theta,p,top,140,150,1
phi,activation,bottom,0,30,1
phi,activation,bottom,120,150,2
phi,activation,bottom,210,240,2
phi,activation,bottom,270,300,2
phi,activation,envelope_miss,210,240,1
phi,activation,envelope_miss,270,300,1
phi,activation,side_wall,0,30,3
phi,activation,side_wall,90,120,1
phi,activation,side_wall,120,150,2
phi,activation,side_wall,180,210,1
phi,activation,side_wall,240,270,5
phi,activation,side_wall,270,300,3
phi,activation,side_wall,300,330,1
phi,activation,side_wall,330,360,3
phi,activation,side_window,180,210,2
phi,activation,top,0,30,1
phi,activation,top,30,60,1
phi,activation,top,60,90,2
phi,activation,top,90,120,1
phi,activation,top,120,150,1
phi,activation,top,150,180,1
phi,activation,top,180,210,1
phi,activation,top,240,270,2
phi,activation,top,270,300,1
phi,activation,top,300,330,1
phi,atm511,bottom,0,30,2
phi,atm511,bottom,30,60,2
phi,atm511,bottom,60,90,2
phi,atm511,bottom,150,180,2
phi,atm511,bottom,210,240,1
phi,atm511,side_wall,30,60,1
phi,atm511,side_wall,60,90,5
phi,atm511,side_wall,90,120,11
phi,atm511,side_wall,120,150,12
phi,atm511,side_wall,150,180,13
phi,atm511,side_wall,180,210,14
phi,atm511,side_wall,210,240,8
phi,atm511,side_wall,240,270,14
phi,atm511,side_wall,270,300,5
phi,atm511,top,120,150,7
phi,atm511,top,150,180,2
phi,atm511,top,180,210,3
phi,atm511,top,210,240,4
phi,eplus,envelope_miss,0,30,1
phi,eplus,envelope_miss,30,60,1
phi,eplus,envelope_miss,120,150,1
phi,eplus,envelope_miss,150,180,1
phi,eplus,envelope_miss,180,210,2
phi,eplus,envelope_miss,210,240,2
phi,eplus,envelope_miss,270,300,1
phi,eplus,envelope_miss,300,330,3
phi,eplus,envelope_miss,330,360,1
phi,eplus,side_wall,0,30,3
phi,eplus,side_wall,30,60,4
phi,eplus,side_wall,60,90,4
phi,eplus,side_wall,90,120,3
phi,eplus,side_wall,120,150,3
phi,eplus,side_wall,150,180,4
phi,eplus,side_wall,180,210,1
phi,eplus,side_wall,210,240,3
phi,eplus,side_wall,240,270,1
phi,eplus,side_wall,270,300,4
phi,eplus,side_wall,300,330,1
phi,eplus,side_window,0,30,1
phi,eplus,side_window,30,60,1
phi,eplus,side_window,300,330,2
phi,eplus,top,90,120,2
phi,eplus,top,150,180,3
phi,eplus,top,180,210,4
phi,eplus,top,210,240,3
phi,eplus,top,270,300,1
phi,eplus,top,300,330,1
phi,gamma,side_wall,240,270,1
phi,muminus,side_wall,120,150,1
phi,muplus,envelope_miss,30,60,2
phi,muplus,envelope_miss,300,330,1
phi,muplus,side_wall,60,90,1
phi,muplus,side_wall,90,120,1
phi,muplus,side_wall,270,300,1
phi,muplus,side_wall,300,330,1
phi,muplus,top,60,90,1
phi,n,bottom,0,30,1
phi,n,bottom,30,60,2
phi,n,bottom,90,120,1
phi,n,bottom,120,150,1
phi,n,bottom,240,270,2
phi,n,bottom,270,300,1
phi,n,bottom,300,330,2
phi,n,envelope_miss,0,30,1
phi,n,envelope_miss,30,60,2
phi,n,envelope_miss,90,120,1
phi,n,envelope_miss,120,150,1
phi,n,envelope_miss,210,240,1
phi,n,envelope_miss,300,330,2
phi,n,side_wall,60,90,3
phi,n,side_wall,90,120,2
phi,n,side_wall,120,150,3
phi,n,side_wall,180,210,3
phi,n,side_wall,210,240,8
phi,n,side_wall,240,270,2
phi,n,side_wall,270,300,4
phi,n,side_wall,300,330,1
phi,n,side_wall,330,360,3
phi,n,top,90,120,1
phi,n,top,120,150,1
phi,n,top,150,180,2
phi,n,top,180,210,5
phi,n,top,210,240,3
phi,n,top,270,300,1
phi,p,top,180,210,1
