energy_lo_keV,energy_hi_keV,energy_center_keV,prompt_raw_cps_per_keV,prompt_raw_events_per_bin,prompt_active_cps_per_keV,prompt_active_events_per_bin,prompt_compton_cps_per_keV,prompt_compton_events_per_bin,delayed_raw_cps_per_keV,delayed_raw_events_per_bin,delayed_active_cps_per_keV,delayed_active_events_per_bin,delayed_compton_cps_per_keV,delayed_compton_events_per_bin,science_raw_cps_per_keV,science_raw_events_per_bin,science_active_cps_per_keV,science_active_events_per_bin,science_compton_cps_per_keV,science_compton_events_per_bin
540.5,541.0,540.75,0.0013566588206564978,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
541.0,541.5,541.25,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
541.5,542.0,541.75,0.0013566588206564978,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
542.0,542.5,542.25,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
542.5,543.0,542.75,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
543.0,543.5,543.25,0.0013566588206564978,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
543.5,544.0,543.75,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
544.0,544.5,544.25,0.0027133176413129956,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
544.5,545.0,544.75,0.0,0,0.0,0,0.0,0,0.0002846143369708079,1,0.00028461433697080964,1,0.00028461433697080964,1,0.0,0,0.0,0,0.0,0
545.0,545.5,545.25,0.0027057595438419457,2,0.0,0,0.0,0,0.0005692286739416158,2,0.00028461433697080964,1,0.00028461433697080964,1,0.0,0,0.0,0,0.0,0
545.5,546.0,545.75,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
546.0,546.5,546.25,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
546.5,547.0,546.75,0.0013566588206564978,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
547.0,547.5,547.25,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
547.5,548.0,547.75,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
548.0,548.5,548.25,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
548.5,549.0,548.75,0.0013566588206564978,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
549.0,549.5,549.25,0.0013566588206564978,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
549.5,550.0,549.75,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
