record_type,topic,metric,source_family_or_local_id,value,unit,value_2,unit_2,context,interpretation
plastic_skin_effect,current_w2_event_level_plastic_veto,muminus_plastic_skin_veto_events,,1,W2 raw TES events,,,"raw=1, fraction=1.0",event-level W2 priority veto classification in complement trajectory table
plastic_skin_effect,current_w2_event_level_plastic_veto,muplus_plastic_skin_veto_events,,6,W2 raw TES events,,,"raw=8, fraction=0.75",event-level W2 priority veto classification in complement trajectory table
plastic_skin_effect,current_w2_event_level_plastic_veto,n_plastic_skin_veto_events,,5,W2 raw TES events,,,"raw=60, fraction=0.08333333333333333",event-level W2 priority veto classification in complement trajectory table
plastic_skin_effect,current_w2_event_level_plastic_veto,p_plastic_skin_veto_events,,1,W2 raw TES events,,,"raw=1, fraction=1.0",event-level W2 priority veto classification in complement trajectory table
bpe_shield_stack_effect,activation_total,fixed_total_activity,,106.48226813815282,Bq,141.83343806309037,Mass_model_511 Bq,geo_over_mass=0.7507557427380936; relative_change_percent=-24.924425726190634,GeoOpt S1/BPE/W5 stack lowers fixed day-15 activation versus Mass_model_511
bpe_shield_stack_effect,activation_internal,internal_activity_excluding_added_geoopt_layers,,105.56481472207452,Bq,141.83343806309037,Mass_model_511 Bq,geo_over_mass=0.7442872157912238; relative_change_percent=-25.57127842087762,"Internal activation is reduced, but this is stack-level evidence, not isolated BPE-only causality"
bpe_shield_stack_effect,activation_CsI,CsI_activity,,63.01977074482,Bq,89.46492664506488,Mass_model_511 Bq,geo_over_mass=0.7044075606839648; relative_change_percent=-29.55924393160352,CsI activation reduction is consistent with neutron-shielding benefit
bpe_shield_stack_effect,added_layers_activity,geo_added_layers_activity,,0.917453416078293,Bq,,Mass_model_511 Bq,geo_over_mass=; relative_change_percent=,Activity created inside added GeoOpt layers themselves
bpe_shield_stack_effect,neutron_rpip,weighted_internal_rpip_points,,30769.5,weighted RPIP points,40687.5,Mass_model_511 weighted RPIP points,geo_over_mass=0.7562396313364055; relative_change_percent=-24.376036866359453,Neutron interaction proxy count in internal materials is lower in GeoOpt stack
bpe_shield_stack_effect,neutron_rpip,weighted_CsI_rpip_points,,23927.5,weighted RPIP points,32453.625,Mass_model_511 weighted RPIP points,geo_over_mass=0.7372828150938454; relative_change_percent=-26.27171849061546,CsI neutron interaction proxy count is lower in GeoOpt stack
bpe_shield_stack_effect,causality_caveat,BPE_only_AB_test,,,,,Mass_model_511,geo_over_mass=; relative_change_percent=,"No otherwise-identical no-BPE transport was run; claim should be shield-stack effect, not pure BPE-only proof"
bpe_shield_stack_effect,activation_category_csv,fixed_total_activity,,106.482268138,Bq,141.833438063,Mass_model_511 Bq,geo_over_mass=0.750755742738; relative_change_percent=-24.9244257,copied from activation_category_comparison_groundstate_fixed.csv
bpe_shield_stack_effect,activation_category_csv,internal_activity_excluding_geoopt_added_layers,,105.564814722,Bq,141.833438063,Mass_model_511 Bq,geo_over_mass=0.744287215791; relative_change_percent=-25.5712784,copied from activation_category_comparison_groundstate_fixed.csv
bpe_shield_stack_effect,activation_category_csv,geoopt_added_layers_activity,,0.917453416078,Bq,0,Mass_model_511 Bq,geo_over_mass=; relative_change_percent=,copied from activation_category_comparison_groundstate_fixed.csv
bpe_shield_stack_effect,activation_category_csv,CsI_activity,,63.0197707448,Bq,89.4649266451,Mass_model_511 Bq,geo_over_mass=0.704407560684; relative_change_percent=-29.5592439,copied from activation_category_comparison_groundstate_fixed.csv
bpe_shield_stack_effect,activation_category_csv,common_internal_volume_names_activity,,105.564814722,Bq,141.770350276,Mass_model_511 Bq,geo_over_mass=0.744618423502; relative_change_percent=-25.5381576,copied from activation_category_comparison_groundstate_fixed.csv
bpe_shield_stack_effect,activation_category_csv,category:cold_plates,,11.5859321759,Bq,13.3787988552,Mass_model_511 Bq,geo_over_mass=0.86599195498; relative_change_percent=-13.4008045,copied from activation_category_comparison_groundstate_fixed.csv
bpe_shield_stack_effect,activation_category_csv,category:csi,,63.0197707448,Bq,89.4649266451,Mass_model_511 Bq,geo_over_mass=0.704407560684; relative_change_percent=-29.5592439,copied from activation_category_comparison_groundstate_fixed.csv
bpe_shield_stack_effect,activation_category_csv,category:geoopt_bpe,,0.0474851426827,Bq,0,Mass_model_511 Bq,geo_over_mass=; relative_change_percent=,copied from activation_category_comparison_groundstate_fixed.csv
bpe_shield_stack_effect,activation_category_csv,category:geoopt_plastic_skin,,0.198559363278,Bq,0,Mass_model_511 Bq,geo_over_mass=; relative_change_percent=,copied from activation_category_comparison_groundstate_fixed.csv
bpe_shield_stack_effect,activation_category_csv,category:geoopt_w_baffle,,0.671408910118,Bq,0,Mass_model_511 Bq,geo_over_mass=; relative_change_percent=,copied from activation_category_comparison_groundstate_fixed.csv
bpe_shield_stack_effect,activation_category_csv,category:other_internal,,3.18169118408,Bq,3.64837482104,Mass_model_511 Bq,geo_over_mass=0.872084514378; relative_change_percent=-12.7915486,copied from activation_category_comparison_groundstate_fixed.csv
bpe_shield_stack_effect,activation_category_csv,category:outer_mechanics,,16.2322110778,Bq,22.2803153549,Mass_model_511 Bq,geo_over_mass=0.72854494289; relative_change_percent=-27.1455057,copied from activation_category_comparison_groundstate_fixed.csv
bpe_shield_stack_effect,activation_category_csv,category:passive_w_or_collimator,,8.00648777627,Bq,8.05238330273,Mass_model_511 Bq,geo_over_mass=0.994300379809; relative_change_percent=-0.569962019,copied from activation_category_comparison_groundstate_fixed.csv
bpe_shield_stack_effect,activation_category_csv,category:tes,,0.0661811936505,Bq,0.085515236574,Mass_model_511 Bq,geo_over_mass=0.773911133289; relative_change_percent=-22.6088867,copied from activation_category_comparison_groundstate_fixed.csv
bpe_shield_stack_effect,activation_category_csv,category:window,,3.47254056953,Bq,4.92312384757,Mass_model_511 Bq,geo_over_mass=0.705353080087; relative_change_percent=-29.464692,copied from activation_category_comparison_groundstate_fixed.csv
bpe_shield_stack_effect,activation_top_nuclides,I-128,,61.8164095618,Bq,88.4668639531,Mass_model_511 Bq,geo_over_mass=0.698752129324; relative_change_percent=-30.1247871,top contributor
bpe_shield_stack_effect,activation_top_nuclides,Al-28,,13.0766011997,Bq,17.7361314735,Mass_model_511 Bq,geo_over_mass=0.737285987043; relative_change_percent=-26.2714013,top contributor
bpe_shield_stack_effect,activation_top_nuclides,Cu-64,,14.8507694675,Bq,17.0747426851,Mass_model_511 Bq,geo_over_mass=0.869750703792; relative_change_percent=-13.0249296,top contributor
bpe_shield_stack_effect,activation_top_nuclides,Mg-27,,4.39683172928,Bq,5.90223548614,Mass_model_511 Bq,geo_over_mass=0.744943460762; relative_change_percent=-25.5056539,top contributor
bpe_shield_stack_effect,activation_top_nuclides,Cu-66,,3.52798325257,Bq,3.95458240307,Mass_model_511 Bq,geo_over_mass=0.892125360654; relative_change_percent=-10.7874639,top contributor
bpe_shield_stack_effect,activation_top_nuclides,W-187,,1.9064144692,Bq,1.05018473,Mass_model_511 Bq,geo_over_mass=1.81531345367; relative_change_percent=81.5313454,top contributor
bpe_shield_stack_effect,activation_top_nuclides,Cs-134,,1.20825996382,Bq,1.52780497684,Mass_model_511 Bq,geo_over_mass=0.79084698776; relative_change_percent=-20.9153012,top contributor
bpe_shield_stack_effect,activation_top_nuclides,Na-24,,0.931137346084,Bq,1.11310076421,Mass_model_511 Bq,geo_over_mass=0.836525655198; relative_change_percent=-16.3474345,top contributor
bpe_shield_stack_effect,activation_top_volumes,CsI_Bottom_Quadrant_03,,5.65571434326,Bq,8.29763732381,Mass_model_511 Bq,geo_over_mass=0.681605392301; relative_change_percent=-31.8394608,csi
bpe_shield_stack_effect,activation_top_volumes,CsI_Bottom_Quadrant_00,,5.73604752024,Bq,8.11888259073,Mass_model_511 Bq,geo_over_mass=0.706507016962; relative_change_percent=-29.3492983,csi
bpe_shield_stack_effect,activation_top_volumes,CsI_Bottom_Quadrant_01,,4.96843937546,Bq,7.52354931788,Mass_model_511 Bq,geo_over_mass=0.660385034449; relative_change_percent=-33.9614966,csi
bpe_shield_stack_effect,activation_top_volumes,CsI_Bottom_Quadrant_02,,5.13396915514,Bq,7.49249368022,Mass_model_511 Bq,geo_over_mass=0.685215013086; relative_change_percent=-31.4784987,csi
bpe_shield_stack_effect,activation_top_volumes,CsI_Side_Segment_07,,5.31497521151,Bq,7.24183460953,Mass_model_511 Bq,geo_over_mass=0.733926621926; relative_change_percent=-26.6073378,csi
bpe_shield_stack_effect,activation_top_volumes,CsI_Side_Segment_00,,5.22545862643,Bq,7.19097935509,Mass_model_511 Bq,geo_over_mass=0.726668561874; relative_change_percent=-27.3331438,csi
bpe_shield_stack_effect,activation_top_volumes,CsI_Side_Segment_01,,4.77160826282,Bq,6.59220940535,Mass_model_511 Bq,geo_over_mass=0.723825347378; relative_change_percent=-27.6174653,csi
bpe_shield_stack_effect,activation_top_volumes,CsI_Side_Segment_06,,4.82099785697,Bq,6.59008245681,Mass_model_511 Bq,geo_over_mass=0.731553495509; relative_change_percent=-26.8446504,csi
w2_neutron_depth_event,neutron_energy_depth_proxy,active veto reject,121496,20.203621986869145,cm depth_projection,1.287,keV initial neutron energy,entry=side_wall; theta=42.51561412171598; phi=97.52269383790312; first_hit=outer_mechanics::MuMetal_MagShield_Outer_Cylinder_2mm; plotted=True,first-hit depth proxy event row; not continuous Geant4 energy-loss-vs-depth scoring
w2_neutron_depth_event,neutron_energy_depth_proxy,active veto reject,167319,2.239451972161141,cm depth_projection,374.36,keV initial neutron energy,entry=side_wall; theta=116.26309240758793; phi=228.8064171277889; first_hit=outer_mechanics::Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port; plotted=True,first-hit depth proxy event row; not continuous Geant4 energy-loss-vs-depth scoring
w2_neutron_depth_event,neutron_energy_depth_proxy,active veto reject,457587,5.857204836848166,cm depth_projection,39.166,keV initial neutron energy,entry=side_wall; theta=94.91349513745675; phi=217.4720190536553; first_hit=csi_active::CsI_TopAnnulus_Segment_07; plotted=True,first-hit depth proxy event row; not continuous Geant4 energy-loss-vs-depth scoring
w2_neutron_depth_event,neutron_energy_depth_proxy,active veto reject,506085,20.210046446958632,cm depth_projection,107.802,keV initial neutron energy,entry=side_wall; theta=84.43267191249814; phi=197.16009951463028; first_hit=window_or_side_port::Shield_4K_Al_side_window_bottom_cap; plotted=True,first-hit depth proxy event row; not continuous Geant4 energy-loss-vs-depth scoring
w2_neutron_depth_event,neutron_energy_depth_proxy,active veto reject,620364,12.780905579854533,cm depth_projection,0.58,keV initial neutron energy,entry=top; theta=100.82692292921789; phi=229.9357574684037; first_hit=other::ColdPlate_CP_100mK_intercept; plotted=True,first-hit depth proxy event row; not continuous Geant4 energy-loss-vs-depth scoring
w2_neutron_depth_event,neutron_energy_depth_proxy,final pass,737005,4.46752846009047,cm depth_projection,11.383,keV initial neutron energy,entry=side_wall; theta=40.52044135448122; phi=248.15826942073775; first_hit=geoopt_plastic_active::GeoOpt_S1_PlasticFullWrap_SideShell_5mm; plotted=True,first-hit depth proxy event row; not continuous Geant4 energy-loss-vs-depth scoring
w2_neutron_depth_event,neutron_energy_depth_proxy,final pass,745151,8.540163528086161,cm depth_projection,28883.468,keV initial neutron energy,entry=top; theta=110.42093411717266; phi=231.88906561159394; first_hit=other::ColdPlate_CP_100mK_intercept; plotted=True,first-hit depth proxy event row; not continuous Geant4 energy-loss-vs-depth scoring
w2_neutron_depth_event,neutron_energy_depth_proxy,active veto reject,875954,0.48513016246642304,cm depth_projection,3.694,keV initial neutron energy,entry=side_wall; theta=113.66730235623831; phi=73.63628075230802; first_hit=geoopt_plastic_active::GeoOpt_S1_PlasticFullWrap_SideShell_5mm; plotted=True,first-hit depth proxy event row; not continuous Geant4 energy-loss-vs-depth scoring
w2_neutron_depth_event,neutron_energy_depth_proxy,missing coordinate,10145,,cm depth_projection,0.0,keV initial neutron energy,entry=envelope_miss; theta=87.31738844976576; phi=51.12357912764623; first_hit=g10_passive::G10_Support_Ring_60K_Top; plotted=False,first-hit depth proxy event row; not continuous Geant4 energy-loss-vs-depth scoring
w2_neutron_depth_event,neutron_energy_depth_proxy,active veto reject,272055,5.380624199508784,cm depth_projection,189.653,keV initial neutron energy,entry=bottom; theta=61.60652897045375; phi=249.48510470611293; first_hit=csi_active::CsI_Bottom_Quadrant_00; plotted=True,first-hit depth proxy event row; not continuous Geant4 energy-loss-vs-depth scoring
w2_neutron_depth_event,neutron_energy_depth_proxy,active veto reject,296032,7.197657108613597,cm depth_projection,0.036,keV initial neutron energy,entry=top; theta=158.41293526957568; phi=272.21393422084907; first_hit=csi_active::CsI_Side_Segment_06; plotted=True,first-hit depth proxy event row; not continuous Geant4 energy-loss-vs-depth scoring
w2_neutron_depth_event,neutron_energy_depth_proxy,active veto reject,804987,-8.002746347499979e-06,cm depth_projection,0.628,keV initial neutron energy,entry=side_wall; theta=39.270265253327025; phi=217.38675480226306; first_hit=geoopt_plastic_active::GeoOpt_S1_PlasticFullWrap_SideShell_5mm; plotted=False,first-hit depth proxy event row; not continuous Geant4 energy-loss-vs-depth scoring
w2_neutron_depth_event,neutron_energy_depth_proxy,active veto reject,305203,1.1749749827488476,cm depth_projection,1.951,keV initial neutron energy,entry=side_wall; theta=41.74493581837809; phi=330.635765071102; first_hit=outer_mechanics::Outer_Al_Mechanical_Shell_detector_bay_bottom_cap; plotted=True,first-hit depth proxy event row; not continuous Geant4 energy-loss-vs-depth scoring
w2_neutron_depth_event,neutron_energy_depth_proxy,active veto reject,314403,-18.281424920234038,cm depth_projection,0.0,keV initial neutron energy,entry=top; theta=116.15145741101729; phi=208.6021545170244; first_hit=window_or_side_port::Shield_60K_Al_side_window_side_wall_above_side_port; plotted=False,first-hit depth proxy event row; not continuous Geant4 energy-loss-vs-depth scoring
w2_neutron_depth_event,neutron_energy_depth_proxy,active veto reject,457664,2.616594687004451,cm depth_projection,0.157,keV initial neutron energy,entry=side_wall; theta=62.82075422296453; phi=274.6468244330574; first_hit=csi_active::CsI_Side_Segment_01; plotted=True,first-hit depth proxy event row; not continuous Geant4 energy-loss-vs-depth scoring
w2_neutron_depth_event,neutron_energy_depth_proxy,missing coordinate,556865,,cm depth_projection,116.244,keV initial neutron energy,entry=envelope_miss; theta=27.211944245725736; phi=105.34081121709046; first_hit=other::ColdPlate_4K; plotted=False,first-hit depth proxy event row; not continuous Geant4 energy-loss-vs-depth scoring
w2_neutron_depth_event,neutron_energy_depth_proxy,active veto reject,681084,5.67156566252951,cm depth_projection,56.234,keV initial neutron energy,entry=side_wall; theta=64.66786917942218; phi=308.6374831973313; first_hit=csi_active::CsI_Side_Segment_01; plotted=True,first-hit depth proxy event row; not continuous Geant4 energy-loss-vs-depth scoring
w2_neutron_depth_event,neutron_energy_depth_proxy,active veto reject,714779,19.421493602372347,cm depth_projection,18.446,keV initial neutron energy,entry=side_wall; theta=79.18004950161291; phi=252.51386023335692; first_hit=other::Cu_50mK_StillLike_Can_bottom_cap_2mm; plotted=True,first-hit depth proxy event row; not continuous Geant4 energy-loss-vs-depth scoring
w2_neutron_depth_event,neutron_energy_depth_proxy,final pass,191496,-6.829088093666759,cm depth_projection,1.635,keV initial neutron energy,entry=top; theta=127.44866413148209; phi=202.8158985943407; first_hit=g10_passive::G10_Support_Ring_Still_4K; plotted=False,first-hit depth proxy event row; not continuous Geant4 energy-loss-vs-depth scoring
w2_neutron_depth_event,neutron_energy_depth_proxy,active veto reject,192808,0.0005482473157659012,cm depth_projection,0.749,keV initial neutron energy,entry=side_wall; theta=107.62771647001306; phi=180.16472454712775; first_hit=geoopt_plastic_active::GeoOpt_S1_PlasticFullWrap_SideShell_5mm; plotted=True,first-hit depth proxy event row; not continuous Geant4 energy-loss-vs-depth scoring
w2_neutron_depth_event,neutron_energy_depth_proxy,active veto reject,264586,-16.47894767045276,cm depth_projection,0.0,keV initial neutron energy,entry=top; theta=148.32191200552896; phi=104.18382414954556; first_hit=g10_passive::G10_Support_Ring_4K_60K; plotted=False,first-hit depth proxy event row; not continuous Geant4 energy-loss-vs-depth scoring
w2_neutron_depth_event,neutron_energy_depth_proxy,active veto reject,299408,8.79853724638107,cm depth_projection,2.206,keV initial neutron energy,entry=bottom; theta=62.75962694182918; phi=104.56779157595079; first_hit=outer_mechanics::Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port; plotted=True,first-hit depth proxy event row; not continuous Geant4 energy-loss-vs-depth scoring
w2_neutron_depth_event,neutron_energy_depth_proxy,missing coordinate,533867,,cm depth_projection,0.0,keV initial neutron energy,entry=envelope_miss; theta=76.83433565183184; phi=312.0736220151578; first_hit=other::ColdPlate_Still_0p7K; plotted=False,first-hit depth proxy event row; not continuous Geant4 energy-loss-vs-depth scoring
w2_neutron_depth_event,neutron_energy_depth_proxy,active veto reject,752100,3.9719413209141585,cm depth_projection,0.098,keV initial neutron energy,entry=bottom; theta=36.87781585013144; phi=325.63720360723585; first_hit=csi_active::CsI_Bottom_Quadrant_02; plotted=True,first-hit depth proxy event row; not continuous Geant4 energy-loss-vs-depth scoring
w2_neutron_depth_event,neutron_energy_depth_proxy,active veto reject,773525,1.8764785853332095,cm depth_projection,3.332,keV initial neutron energy,entry=side_wall; theta=45.04369550249382; phi=345.64972191805947; first_hit=geoopt_plastic_active::GeoOpt_S1_PlasticFullWrap_SideShell_5mm; plotted=True,first-hit depth proxy event row; not continuous Geant4 energy-loss-vs-depth scoring
w2_neutron_depth_event,neutron_energy_depth_proxy,missing coordinate,912165,,cm depth_projection,10045.786,keV initial neutron energy,entry=envelope_miss; theta=68.73673126892547; phi=45.890366959777204; first_hit=other::Plate_300K_Top_Service_Lid; plotted=False,first-hit depth proxy event row; not continuous Geant4 energy-loss-vs-depth scoring
w2_neutron_depth_event,neutron_energy_depth_proxy,active veto reject,259704,-0.30112262678081114,cm depth_projection,550.368,keV initial neutron energy,entry=bottom; theta=56.182050164927446; phi=22.93904230328651; first_hit=csi_active::CsI_Bottom_Quadrant_01; plotted=False,first-hit depth proxy event row; not continuous Geant4 energy-loss-vs-depth scoring
w2_neutron_depth_event,neutron_energy_depth_proxy,active veto reject,365643,1.6175687013746778,cm depth_projection,0.617,keV initial neutron energy,entry=side_wall; theta=98.37450803815474; phi=274.21560334059393; first_hit=outer_mechanics::Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port; plotted=True,first-hit depth proxy event row; not continuous Geant4 energy-loss-vs-depth scoring
w2_neutron_depth_event,neutron_energy_depth_proxy,active veto reject,545609,1.6175782910229697,cm depth_projection,0.167,keV initial neutron energy,entry=side_wall; theta=136.34531039044083; phi=80.37422688865998; first_hit=csi_active::CsI_Side_Segment_04_rectcut_window_band; plotted=True,first-hit depth proxy event row; not continuous Geant4 energy-loss-vs-depth scoring
w2_neutron_depth_event,neutron_energy_depth_proxy,active veto reject,591731,1.4688909676833997,cm depth_projection,332.481,keV initial neutron energy,entry=side_wall; theta=123.55771632707572; phi=133.05090540015803; first_hit=passive_shield_or_collimator::ActiveShield_Flex_Kapton_detector_bay_above_side_port; plotted=True,first-hit depth proxy event row; not continuous Geant4 energy-loss-vs-depth scoring
w2_neutron_depth_event,neutron_energy_depth_proxy,final pass,610192,4.427603674514784,cm depth_projection,41.776,keV initial neutron energy,entry=side_wall; theta=100.39084391916282; phi=222.15726161922802; first_hit=csi_active::CsI_Side_Segment_07; plotted=True,first-hit depth proxy event row; not continuous Geant4 energy-loss-vs-depth scoring
w2_neutron_depth_event,neutron_energy_depth_proxy,active veto reject,736476,2.098660773227984,cm depth_projection,1.191,keV initial neutron energy,entry=side_wall; theta=81.86950959132291; phi=235.85777531950575; first_hit=csi_active::CsI_Side_Segment_01; plotted=True,first-hit depth proxy event row; not continuous Geant4 energy-loss-vs-depth scoring
w2_neutron_depth_event,neutron_energy_depth_proxy,missing coordinate,795568,,cm depth_projection,1.873,keV initial neutron energy,entry=envelope_miss; theta=106.18223440527117; phi=234.73733254635377; first_hit=other::ColdPlate_4K; plotted=False,first-hit depth proxy event row; not continuous Geant4 energy-loss-vs-depth scoring
w2_neutron_depth_event,neutron_energy_depth_proxy,final pass,813973,28.237763201730903,cm depth_projection,2775.03,keV initial neutron energy,entry=top; theta=122.57366358043376; phi=123.26475602695739; first_hit=passive_shield_or_collimator::Nb_MagShield_Inner_Cylinder_2mm; plotted=True,first-hit depth proxy event row; not continuous Geant4 energy-loss-vs-depth scoring
w2_neutron_depth_event,neutron_energy_depth_proxy,active veto reject,841723,10.46814642244073,cm depth_projection,0.235,keV initial neutron energy,entry=bottom; theta=41.674246623735115; phi=307.468439272407; first_hit=csi_active::CsI_Side_Segment_04_below_side_port; plotted=True,first-hit depth proxy event row; not continuous Geant4 energy-loss-vs-depth scoring
w2_neutron_depth_event,neutron_energy_depth_proxy,active veto reject,894429,7.149446703236833,cm depth_projection,0.0,keV initial neutron energy,entry=bottom; theta=21.243989008317154; phi=35.17207574401585; first_hit=csi_active::CsI_Bottom_Quadrant_03; plotted=True,first-hit depth proxy event row; not continuous Geant4 energy-loss-vs-depth scoring
